Player ID, trial, timestamp, x, y, rotx, roty
,3,39.24194,-27.14219,-36.35346,129.8983,-8.536814
,3,39.59229,-27.39759,-36.86647,129.6981,-8.011375
,3,39.9425,-27.27498,-38.25776,166.6037,-9.93798
,3,40.29285,-27.02839,-39.61599,170.0067,-9.837897
,3,40.64319,-27.40453,-40.83764,173.8597,-9.962976
,3,40.99341,-28.44246,-42.10597,173.8597,-9.962976
,3,41.34375,-28.98108,-43.54089,173.8847,-9.962976
,3,41.69397,-28.3012,-44.6579,179.0891,-9.912934
,3,42.04431,-27.22593,-45.89182,189.798,-9.862894
,3,42.39465,-26.50031,-47.35651,203.084,-9.812852
,3,42.74487,-25.98514,-48.90472,218.2466,-11.41418
,3,43.09521,-26.14422,-50.52413,238.6136,-11.9146
,3,43.44543,-26.68571,-52.06253,251.4996,-11.66442
,3,43.79578,-27.64317,-53.38356,263.1595,-11.96467
,3,44.14612,-28.66193,-54.65962,267.1125,-12.06475
,3,44.49634,-29.98924,-55.52706,278.347,-12.81537
,3,44.84668,-31.34139,-55.33403,279.6231,-12.91546
,3,45.1969,-32.68777,-55.10526,279.7232,-12.86541
,3,45.54724,-33.9485,-55.07243,279.9234,-12.69032
,3,45.89746,-35.27761,-55.89701,285.1276,-10.7387
,3,46.2478,-36.80721,-56.46329,304.7189,-9.63778
,3,46.59814,-38.44206,-56.50932,318.7556,-8.962217
,3,46.94836,-40.07953,-56.39714,320.7826,-8.686989
,3,47.29871,-41.71108,-56.21241,321.9838,-8.611927
,3,47.64893,-43.34619,-56.11082,309.9487,-8.311675
,3,47.99927,-44.94091,-56.48205,291.8588,-4.408424
,3,48.34961,-46.33419,-56.85917,291.0582,-4.058134
,3,48.69983,-46.9241,-56.64265,291.0582,-4.058134
,3,49.05017,-48.04249,-56.19684,297.989,-4.958884
,3,49.40039,-48.16185,-56.1084,309.3485,-5.008936
,3,49.75073,-48.16185,-56.1084,2.517822,-8.611961
,3,50.10107,-48.16185,-56.1084,30.29126,-9.212437
,3,50.45129,-48.16185,-56.1084,42.92676,-7.410935
,3,50.80164,-48.16185,-56.1084,59.24036,-6.785416
,3,51.15186,-48.04499,-56.08431,78.60657,-6.985584
,3,51.5022,-46.89647,-55.85326,78.95691,-7.686166
,3,51.85242,-45.52298,-55.64965,85.51221,-5.934709
,3,52.20276,-44.13426,-55.53051,84.81152,-5.809604
,3,52.5531,-42.74636,-55.39965,84.46118,-5.759562
,3,52.90332,-41.35895,-55.26327,84.33606,-5.759562
,3,53.25366,-39.97188,-55.12352,84.18591,-5.759562
,3,53.60388,-38.58496,-54.98229,84.18591,-5.759562
,3,53.95422,-37.19804,-54.84107,84.18591,-5.759562
,3,54.30457,-35.81111,-54.69984,84.18591,-5.759562
,3,54.65479,-34.42641,-54.74862,102.9266,-3.657812
,3,55.00513,-33.06353,-55.06142,102.9266,-3.657812
,3,55.35535,-31.68782,-55.27971,91.89246,-5.134041
,3,55.70569,-30.29416,-55.36099,93.4187,-4.883833
,3,56.05603,-28.90056,-55.44424,93.4187,-4.883833
,3,56.40625,-27.51146,-55.59241,97.37244,-3.958069
,3,56.75659,-26.12519,-55.77177,97.37244,-3.958069
,3,57.10681,-24.73985,-55.95779,98.54858,-4.008111
,3,57.45715,-23.35836,-56.16978,98.74878,-4.058153
,3,57.8075,-21.97747,-56.38502,99.54956,-4.358403
,3,58.15771,-20.60744,-56.65469,101.7517,-4.858819
,3,58.50806,-19.24057,-56.93904,101.7517,-4.858819
,3,58.85828,-17.87542,-57.23087,102.2522,-4.958903
,3,59.20862,-16.51129,-57.5271,102.2522,-4.958903
,3,59.55884,-15.1477,-57.82557,102.6525,-5.059011
,3,59.90918,-13.78601,-58.13125,102.6525,-5.084034
,3,60.25952,-12.42415,-58.43679,102.5524,-5.134076
,3,60.60974,-11.06134,-58.73681,102.4022,-5.184117
,3,60.96021,-9.691094,-58.99869,99.5498,-5.659513
,3,61.3103,-8.339577,-58.98365,60.76697,-9.487762
,3,61.66064,-7.157629,-58.26963,54.2113,-10.4886
,3,62.01099,-6.214688,-57.77266,26.26282,-6.310119
,3,62.36121,-4.946249,-58.28704,22.43469,-4.883929
,3,62.71155,-3.651129,-58.82177,22.43469,-4.883929
,3,63.06177,-2.356658,-59.35806,22.60986,-5.059075
,3,63.41211,-1.215925,-59.80644,60.74182,-3.833053
,3,63.76245,-0.6445853,-59.80644,70.3999,-3.307615
,3,64.11267,0.2470821,-59.78524,111.2833,-1.631218
,3,64.46301,1.537253,-60.33103,112.1594,-1.631193
,3,64.81323,2.842867,-60.83686,109.3568,-2.456905
,3,65.16357,4.20462,-61.14878,99.99927,-3.432719
,3,65.51379,5.589142,-61.34423,97.04626,-3.682953
,3,65.86414,6.977604,-61.50856,96.34558,-3.732994
,3,66.21448,8.094273,-62.20517,94.74414,-3.757989
,3,66.5647,9.195084,-63.43319,89.83984,-3.257547
,3,66.91504,10.59733,-64.1562,86.43701,-3.032359
,3,67.26526,11.99404,-64.07253,86.43701,-3.032359
,3,67.6156,12.97368,-64.1041,137.4299,0.5456772
,3,67.96594,12.99276,-64.13116,155.5449,4.724154
,3,68.31616,12.99276,-64.13116,209.2147,4.724154
,3,68.6665,12.99276,-64.13116,267.6638,5.149513
,3,69.01672,12.99276,-64.13116,250.5747,1.44643
,3,69.36707,12.99276,-64.13116,194.9532,1.246265
,3,69.71741,12.99276,-64.13116,147.1396,2.572394
,3,70.06763,12.99276,-64.13116,140.7343,2.19708
,3,70.41797,13.15887,-64.20845,113.3866,3.448123
,3,70.76819,14.32391,-64.65554,108.1316,4.148757
,3,71.11853,15.6849,-64.9735,102.1516,3.698386
,3,71.46887,17.05182,-65.26783,102.1516,3.698386
,3,71.81909,18.42068,-65.55326,100.3749,3.172949
,3,72.16943,19.80692,-65.74148,97.07202,3.072865
,3,72.51965,21.19389,-65.92631,97.82275,2.972783
,3,72.87,22.5855,-66.07138,93.34375,1.821832
,3,73.22021,23.98543,-66.08184,88.96509,1.621664
,3,73.57056,25.38601,-66.08986,90.64148,1.52158
,3,73.9209,26.7866,-66.10493,90.44128,1.571621
